"browser","machine","framework","operatingSystem","name","mimeType","losslessAverage","normalAverage","lowQualityAverage"
"chrome","Desktop PC","remix","windows 10","sample_1920%C3%971280","JPEG","98.04999999993015","19.150000000023283","11"
"chrome","Desktop PC","remix","windows 10","sample_5184×3456","WebP","432.8749999998836","436.47500000009313","17.649999999906868"
"chrome","Desktop PC","remix","windows 10","sample_1920%C3%971280","WebP","84.57499999995343","76.77499999979045","13.29999999993015"
"firefox","Desktop PC","remix","windows 10","sample_5184×3456","JPEG","232.5","47","22"
"firefox","Desktop PC","remix","windows 10","sample_1920%C3%971280","JPEG","14.5","23","16"
"firefox","Desktop PC","remix","windows 10","sample_5184×3456","WebP","595.25","629","29.5"
"firefox","Desktop PC","remix","windows 10","sample_1920%C3%971280","WebP","71","107","18.75"
"chrome","Lenovo 20Y7003XGE","remix","Windows 11","sample_5184×3456","JPEG","10.549999999988358","7.2999999999883585","7.500000000058208"
"chrome","Lenovo 20Y7003XGE","remix","Windows 11","sample_1920%C3%971280","JPEG","null","6.4500000000116415","6.175000000017462"
"chrome","Lenovo 20Y7003XGE","remix","Windows 11","sample_5184×3456","WebP","6.150000000023283","4.9500000000116415","4.475000000034925"
"chrome","Lenovo 20Y7003XGE","remix","Windows 11","sample_1920%C3%971280","WebP","6.025000000052387","6.900000000023283","4.725000000005821"
"chrome","Lenovo 20Y7003XGE","astro","Windows 11","sample_5184×3456","JPEG","301.57499999552965","53.07499999552965","32.49999999627471"
"chrome","Lenovo 20Y7003XGE","astro","Windows 11","sample_1920%C3%971280","JPEG","52.30000000074506","20.399999998509884","18.225000001490116"
"chrome","Lenovo 20Y7003XGE","astro","Windows 11","sample_5184×3456","WebP","509.92500000447035","473.3999999947846","19.275000005960464"
"chrome","Lenovo 20Y7003XGE","astro","Windows 11","sample_1920%C3%971280","WebP","96.4750000089407","69.42500000074506","20.924999997019768"
"firefox","Lenovo 20Y7003XGE","astro","Windows 11","sample_5184×3456","JPEG","54.25","16.75","14"
"firefox","Lenovo 20Y7003XGE","astro","Windows 11","sample_1920%C3%971280","JPEG","29.75","26.25","85.25"
"firefox","Lenovo 20Y7003XGE","astro","Windows 11","sample_5184×3456","WebP","56","56.25","13.75"
"firefox","Lenovo 20Y7003XGE","astro","Windows 11","sample_1920%C3%971280","WebP","20.5","19.75","11.25"
"chrome","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_5184×3456","JPEG","7.500000000116415","5.225000000209548","4.700000000069849"
"chrome","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_1920%C3%971280","JPEG","null","5.125","5.400000000139698"
"chrome","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_5184×3456","WebP","3.9749999997438863","5.149999999790452","5.125"
